paper_id;author_id;author_sequence_number
104039561;2649613461;1
105225125;2580394487;2
105225125;2776958842;1
105433239;2122282486;2
105433239;2484803435;1
106261902;2120318414;1
107036484;2243292069;2
107036484;2274426544;1
107237137;2715478531;1
107391457;2111820886;4
107391457;2118754015;2
107391457;2306694758;5
107391457;2789235511;1
107391457;2806148755;3
107603993;154171363;3
107603993;197077330;5
107603993;580959089;2
107603993;2099365047;1
107603993;2634196313;4
108230596;2152066896;1
108274449;2092987527;1
108274449;2126791171;3
108274449;2152003019;4
108274449;2493700369;2
108448143;1786598578;1
108448143;2444128212;2
109064668;88906516;6
109064668;427307618;4
109064668;1988909884;2
109064668;2051694737;1
109064668;2468276620;5
109064668;2810725646;3
109668224;1998290005;3
109668224;2035019803;4
109668224;2047552892;2
109668224;2134742407;1
111521941;256696601;4
111521941;370245269;2
111521941;2032911024;1
111521941;2292944436;3
111738690;2114102047;3
111738690;2140734347;1
111738690;2153244868;2
111742070;1953626543;1
111742070;1976415351;3
111742070;2120595703;2
113152358;2029160390;1
113152358;2158934204;3
113152358;2476711266;2
113317971;2108048079;3
113317971;2142964213;2
113317971;2609697432;4
113547132;230994779;1
113819390;112613578;2
113819390;218771640;1
113941446;2060308347;1
114641241;128788107;5
114641241;1971396101;4
114641241;2013701728;3
114641241;2114505653;1
114641241;2346034927;2
114722374;63231120;1
114927185;2310090170;2
114927185;2485089131;1
115395359;2346159449;1
115395359;2493273361;2
115452621;2136468362;3
115452621;2139098169;1
115452621;2165051184;2
115809921;2104903838;1
115809921;2122423217;2
117075264;99198979;1
117075264;1719961615;2
117075264;2293898493;3
117124045;371736883;1
117124045;2113284120;2
117176442;2024132433;1
117176442;2489499845;2
117258288;44897255;3
117258288;88547448;1
117258288;2810738823;2
117663238;260981774;2
117663238;2007518848;1
118185693;2645469790;1
120315634;2635101382;1
121095358;312068892;4
121095358;1999673734;1
121095358;2162081540;5
121095358;2255036510;2
121095358;2400618948;6
121095358;2479920901;3
121140239;197028266;4
121140239;216611935;2
121140239;668764113;3
121140239;1915397510;5
121140239;2308935796;1
121830745;1969076968;1
123106862;396240595;1
123106862;2146425917;2
123648559;209373061;3
123648559;2059192455;2
123648559;2099423363;1
123648559;2110230597;4
123649619;111842984;1
123649619;2078800774;3
123649619;2114461673;2
123742750;1480781228;2
123742750;1996256401;1
123742750;2020305124;4
123742750;2106291024;3
123812695;2077568851;2
123812695;2077568851;2
123812695;2113705476;1
123812695;2113705476;1
123812695;2169757046;4
123812695;2431320667;3
123812695;2715010527;5
123812695;2800948926;6
124409026;293268763;4
124409026;1821140259;5
124409026;1874482551;1
124409026;2066823610;3
124409026;2139040312;2
125283759;292163515;1
128197716;2306955101;2
128197716;2693277041;1
131644850;408217030;2
131644850;2530392766;1
132061675;2106788355;3
132061675;2617582265;1
132061675;2664975988;4
132061675;2697341911;2
132309707;55450124;1
132309707;182606413;2
132506665;2634164942;1
132626787;1916196745;3
132626787;1968201043;1
132626787;2104476252;4
132626787;2293043741;2
134421085;170241628;3
134421085;685596194;2
134421085;2281235582;1
134740202;2172446449;2
134740202;2184989858;1
135495771;2106923595;2
135495771;2585565449;1
136996153;2106339118;1
138192828;2528766432;2
138192828;2685525320;1
139094572;2235673501;1
139235646;125612257;2
139235646;2101842532;1
143503265;2129755305;1
143583992;1898409829;2
143583992;2151581434;1
144454689;2175384922;1
144454689;2175384922;1
144761798;519054157;1
146207447;1441834180;3
146207447;2122502592;5
146207447;2230931838;2
146207447;2298177331;1
146207447;2717290907;4
147617928;2156056858;1
148556216;1992840589;4
148556216;2048654865;3
148556216;2428890022;2
148556216;2652384365;1
148701475;207613992;1
148701475;2005471556;2
148701475;2303917211;3
149197318;398026466;1
149197318;2120028760;2
149895071;36886456;1
149895071;2191606039;2
150169591;1980272291;1
150169591;2011096697;2
150213595;2521119554;1
150300838;2778856187;1
151534157;1894270402;1
151599284;2145111317;1
151599284;2801509749;2
151599284;2801509749;2
151745554;2138535417;2
151745554;2894490219;1
152777513;192202707;1
152995423;393628836;3
152995423;1966532228;2
152995423;2777990901;1
153007650;2002533442;5
153007650;2020577845;4
153007650;2027867483;6
153007650;2170709299;3
153007650;2171415048;2
153007650;2171634557;1
153007650;2309858513;7
153806552;2163585204;1
153806552;2570943861;2
154110527;2289462667;2
154110527;2291950996;1
154956320;2280021012;2
154956320;2661297097;1
155448268;50392776;1
156349005;1583792575;2
156349005;2065672877;1
156349005;2096933860;3
156499095;2139229936;2
156499095;2167724078;1
160201372;25845525;3
160201372;292299716;1
160201372;2136401455;2
160239237;267417617;2
160239237;2158473743;1
160596652;2053495855;2
160596652;2247535586;1
161292523;2102429099;1
161812130;1264244391;3
161812130;2256515865;5
161812130;2432635458;4
161812130;2467009602;2
161812130;2561776787;1
161895628;1769468892;4
161895628;1928049513;1
161895628;2040414958;3
161895628;2083590650;2
163781332;2118199879;4
163781332;2208743253;1
163781332;2718077218;2
163781332;2806556637;3
164091575;1863463115;3
164091575;1985646380;4
164091575;2020098926;2
164091575;2762558493;1
165602211;1967543743;2
165602211;2305944436;1
166352487;1241415255;1
166490602;54166388;3
166490602;2640250648;2
166490602;2681835282;1
168764541;1898409829;2
168764541;2151581434;1
168764541;2166250947;3
170242787;99198979;1
170242787;1719961615;2
170242787;2288791643;3
170529196;2070207088;1
170529196;2549789116;2
170561369;2105744174;1
170561369;2181542410;2
170561369;2427189105;3
171991278;237265413;2
171991278;256611859;3
171991278;1983982202;1
174066412;492425045;2
174066412;2148268392;3
174066412;2344011589;1
174322856;26051059;4
174322856;519054157;3
174322856;729038630;1
174322856;2089757171;2
174322856;2636713146;5
174502857;1966117383;6
174502857;1967926312;1
174502857;2013302901;4
174502857;2108126638;5
174502857;2126039653;3
174502857;2190605086;7
174502857;2567953736;2
175174791;57977142;3
175174791;1156422826;1
175174791;1928167168;2
175578166;2030366862;1
175624695;220105050;4
175624695;2154968417;5
175624695;2157251784;1
175624695;2305471098;3
175624695;2642095690;2
175683288;2159631600;1
175683288;2266585056;2
175969831;223376542;4
175969831;999226360;2
175969831;2033075754;3
175969831;2137964017;1
176441243;2281578942;2
176441243;2283686318;1
176460096;2097363020;2
176460096;2108204214;9
176460096;2124865544;1
176460096;2138398477;5
176460096;2476827320;6
176460096;2489369465;4
176460096;2495614390;7
176460096;2497436438;8
176460096;2630570786;3
176750144;2112505991;5
176750144;2479707085;4
176750144;2590413041;2
176750144;2696270554;3
176750144;2846732684;1
176793026;54164155;1
176793026;2423930462;2
176889748;1837758571;1
176889748;1965032571;3
176889748;2162757406;2
177315409;2645969369;1
177671575;2100109912;1
177671575;2153352774;2
177671575;2165096182;3
178439390;1820425427;2
178439390;1999800812;1
178439390;2658586075;3
178909140;2135063632;1
179106538;2894483672;1
179398260;2217348672;1
179398260;2291953446;2
179946953;2199750238;1
181327985;2151507793;1
181327985;2628164321;2
181896878;645518497;1
181896878;2155019631;2
181966479;2337535766;1
182147528;2106670538;1
182147528;2665679529;2
183117328;2086162377;1
183117328;2162256867;2
184386354;88906516;1
184386354;1138770865;7
184386354;1191046930;4
184386354;1210257154;9
184386354;1702039903;10
184386354;1894000886;8
184386354;2051694737;3
184386354;2150175412;6
184386354;2252142436;5
184386354;2468276620;2
184643134;287647906;3
184643134;2304101788;2
184643134;2555844096;1
185267717;2127742452;2
185267717;2435928689;1
185387946;2150503582;2
185387946;2894483672;1
185683210;1800007723;2
185683210;2205636148;4
185683210;2311174825;3
185683210;2688139717;1
186603785;2558168004;3
186603785;2609932448;1
186603785;2715914783;2
187567047;2017812127;1
187567047;2406996445;3
187567047;2780126720;2
188136104;2023883699;2
188136104;2132121938;1
190174881;666410932;3
190174881;2093104212;6
190174881;2109836193;2
190174881;2135649065;4
190174881;2344177940;5
190174881;2807575163;1
190174881;2807575163;1
190286201;2038827167;1
190286201;2898567052;2
190307739;2110414099;2
190307739;2114604010;1
191322953;2433769478;1
191365238;432232642;1
191973558;206887103;3
191973558;2123960369;2
191973558;2148611512;1
192738892;1976545552;2
192738892;2058348456;3
192738892;2237029120;1
192738892;2287053393;4
192738892;2304677228;5
192819889;2810748681;1
193753352;2100189698;2
193753352;2142705880;1
193927833;2313780793;2
193927833;2556843516;1
194005867;1995387402;1
194230007;632763338;1
194291931;2102901698;2
194291931;2225117565;1
194440122;2116574971;3
194440122;2667957185;2
194785381;2086396309;2
194785381;2158434997;1
194822058;2761998796;1
195429823;2691710640;1
195822085;287661457;3
195822085;1982936027;4
195822085;2108382902;1
195822085;2558155543;2
195822085;2894461180;5
195985919;2477437737;2
195985919;2701025628;1
196160990;2699417992;2
198310210;1948433388;4
198310210;1951305569;2
198310210;2156266188;3
198310210;2156266188;3
198310210;2429867500;1
198310210;2429867500;1
198310210;2582422526;5
198310210;2582422526;5
200064485;170241628;2
200064485;685596194;3
200064485;2120494553;5
200064485;2132668168;1
200064485;2155826448;4
200141625;2038597015;2
200141625;2514218981;1
200532039;2100594616;1
200532039;2118842476;3
200532039;2127323036;4
200532039;2308328903;2
201408612;2687370936;1
201408612;2709272236;2
201609852;735013031;1
202778775;2224021757;4
202778775;2294578774;2
202778775;2545936480;1
202778775;2791005744;3
203242095;2147301409;1
203297506;2668228711;1
203454313;73615348;2
203454313;2679039485;1
203460283;1982601364;4
203460283;2084101277;1
203460283;2095013499;5
203460283;2287820123;2
203460283;2304840274;3
205611131;1916366858;1
206267163;961181407;1
206267163;2189795223;3
206267163;2221095007;6
206267163;2293792313;2
206267163;2316728356;5
206267163;2670723737;4
206923646;317661935;1
206923646;2144317754;2
207014625;677707954;1
207014625;2127312333;2
207635167;2005110205;1
207635167;2481423552;2
207635167;2634196313;3
207665585;2267565602;1
207853804;2153435029;1
214774632;2143783256;1
219107456;2279070817;1
219107456;2281444956;2
220883324;2059384555;3
220883324;2110696308;1
220883324;2153026795;2
224784536;2132530934;1
224784536;2139941330;2
229798587;1998865293;2
229798587;2047984769;1
231864543;1778053037;1
234867420;2111470091;4
234867420;2117945724;2
234867420;2127683674;3
234867420;2393468633;1
235543664;1195310261;1
235543664;2110830583;4
235543664;2137929173;2
235543664;2159837179;3
236010143;2806259946;1
240401590;2106744848;1
240633046;2100109912;1
240633046;2153352774;3
240633046;2165096182;2
251384046;2167676323;1
251576261;2009518550;2
253878644;2887786725;1
254570380;1195310261;1
254570380;2137929173;2
258237487;1999329289;2
258237487;2318194902;1
259013728;2492772011;1
259013728;2500943569;2
259063715;1195310261;1
259063715;2110830583;4
259063715;2137929173;2
259063715;2159837179;3
260179415;177036250;3
260179415;2113555237;1
260179415;2574458909;2
263612520;2117066778;1
264871431;2237450529;1
265261485;1890083705;3
265261485;1988705325;2
265261485;2151886066;1
265445943;1985003857;1
265445943;2039415893;3
265445943;2489418703;2
265604725;1642175454;1
271218483;1224470917;2
271218483;1967529383;4
271218483;2136127216;1
271218483;2143490654;3
271218483;2143490654;3
275890692;192857883;1
275890692;2776292556;2
282260257;2612506733;1
285122527;1891482628;3
285122527;2118761696;1
285122527;2564627242;2
289175679;1960462161;1
289733780;2159018758;1
295355191;2342445888;4
295355191;2403633216;5
297045054;2033938057;2
297045054;2116928622;1
298891370;717148855;2
298891370;1891115510;3
298891370;2276574982;1
299098028;2892799397;1
302878722;2294393595;1
302878722;2597264153;2
304720152;660639137;2
304720152;1997217508;4
304720152;2139355756;1
304720152;2144705104;3
305790684;2048098188;4
305790684;2103453727;1
305790684;2210514713;2
305790684;2501445453;3
305790684;2684153345;5
307157852;718039462;1
307157852;2085234058;2
307697060;2561976282;4
307697060;2563867197;2
307697060;2565777731;1
307697060;2566738720;3
311020727;2134447754;2
311020727;2311435803;1
313558627;382174709;2
313558627;2160782344;5
313558627;2253402069;4
313558627;2259877215;1
313558627;2316977759;3
317001986;209373061;3
317001986;2059192455;2
317001986;2099423363;1
317494229;1180975679;2
317494229;2078866958;1
317671949;2195708961;2
323343355;2656742657;1
325099227;669381866;3
325099227;2060298672;1
331380461;2015020980;1
331380461;2128344606;2
333509546;2144092344;1
333550619;220118967;1
333550619;1986159374;3
333550619;2176534177;2
342399104;2133795835;1
342399104;2278583709;2
348643865;2117114528;6
348643865;2153108318;3
348643865;2172219767;1
348643865;2199232940;5
348643865;2241759796;2
348643865;2311435801;7
348643865;2406856747;4
348707231;2053495855;1
348707231;2247535586;2
350533677;2098659710;1
350533677;2118137127;2
350533677;2305902334;3
350711662;327468253;1
350711662;2645997199;2
368328111;1967720291;2
371719752;2137354898;1
371719752;2515909262;3
371719752;2686533092;2
371719752;2791770449;4
378514425;2485132558;1
378514425;2561187737;2
379949009;2702660095;1
414218795;2668511553;2
414218795;2714036463;1
415915266;242315540;2
415915266;2145714560;1
419219508;2481554371;1
422422524;2038272816;3
422422524;2109151329;1
422422524;2112978852;5
422422524;2288953501;4
422422524;2415085070;2
425525649;2527221696;1
569789674;1983042221;2
574900623;2122296249;1
574900623;2122296249;1
574900623;2156097516;2
574900623;2169371140;3
574900623;2665360813;4
579689176;1966181564;1
580612955;2646526883;1
582062994;137996559;1
582062994;2132899374;2
588604797;636251406;1
592278234;2167917041;1
594515629;1674173384;1
594515629;2655259185;2
594515629;2719232645;3
596254073;2141507140;4
596254073;2158500930;3
596254073;2158932929;1
596254073;2569100009;2
599962843;2143581089;1
606142850;1970009732;6
606142850;2115183832;1
606142850;2191552229;5
606142850;2434980432;4
606142850;2585556007;2
606142850;2763884896;3
611106992;184504740;1
611106992;2114146760;2
611106992;2303527484;3
611106992;2667458731;4
618533985;2143918342;1
620458622;2893683963;1
623341312;359055503;1
623341312;2263782775;2
629868537;1979219385;3
629868537;2016623251;2
629868537;2131417106;1
629868537;2574889750;6
629868537;2609970110;5
629868537;2633312699;4
629868537;2659102639;8
629868537;2679433904;7
629868537;2708949698;9
632197208;2048497048;4
632197208;2120131766;3
632197208;2127882624;2
632197208;2139407107;6
632197208;2273214336;5
632197208;2567708393;1
638008723;25845525;4
638008723;290599808;3
638008723;292299716;2
638008723;1498854784;1
641208093;2163836303;2
641208093;2222849767;1
645548006;2423760137;4
645548006;2883090485;1
649911831;2105385770;1
649911831;2168906395;2
650297554;2686400280;1
651486114;2634273540;1
652403043;2102143040;1
657868561;2030801612;1
745585191;2710638354;1
749836577;2106744848;1
754108293;2107663218;1
754108293;2432252411;3
754108293;2645806617;2
757729564;2033605596;4
757729564;2105723953;3
757729564;2120195704;1
757729564;2145674980;2
757729564;2168269080;6
757729564;2565176361;5
758221226;1978044792;1
758221226;2033196080;2
758221226;2123008980;3
758221226;2142124817;5
758221226;2296800268;4
763576038;2655171590;1
763927162;2146817142;1
772101138;2607308405;1
776214368;2159422963;3
776214368;2238515175;1
776214368;2274943423;2
778571418;2675264659;1
782442571;1462107000;1
782442571;2174886271;2
783930876;2150823795;1
783930876;2575708489;2
792874899;2114783387;2
792874899;2341392073;1
797572151;2135540736;1
797572151;2144507243;2
797572151;2220320017;3
799435435;2098303549;1
810692126;2122012162;1
830229827;2712346475;1
850976392;2685198084;1
851769481;2108682451;1
853600594;109373579;2
853600594;294375193;1
863264153;2250825777;2
863264153;2284992719;1
863619139;1972484504;1
905647012;2662011485;1
913595933;2129238723;1
920169210;2080622679;1
920399418;2194336525;1
929987503;2105006307;3
929987503;2106732317;2
929987503;2106732317;2
929987503;2124130970;1
929987503;2124130970;1
931513770;222128907;4
931513770;1958640906;5
931513770;1994200327;6
931513770;2139594711;1
931513770;2157435787;3
931513770;2343863542;2
934003882;1999264365;1
935066254;2019781106;1
935066254;2124111122;2
935506288;2148886512;1
936442984;425136932;3
936442984;1965181655;1
936442984;2069881136;5
936442984;2107109090;2
936442984;2260898319;4
937051318;2129682208;1
937051318;2799261974;3
937051318;2901628035;2
937998020;1998865293;2
937998020;2047984769;1
940472596;308327797;2
940472596;2113366332;3
940472596;2171914995;4
940472596;2288218157;1
940885736;229457280;3
940885736;1868857038;6
940885736;2108748598;4
940885736;2117588691;1
940885736;2251029643;5
940885736;2498701500;2
943286633;2107077003;1
943286633;2158932929;2
943286633;2306131764;3
944055231;2106744848;1
944919814;2027677178;5
944919814;2048333786;1
944919814;2254195690;3
